"Ano_Ref","id_mun","ES001","POP_URB","ES006","ES028","FN001","FN003","FN006","FN013","FN024","FN033","FN043","FN048","FN053","FN058"
2012,2916104,10137,20994,375.38,319.61,3302849.03,760236.1,3228140.17,1377308.8,NA,NA,NA,NA,NA,NA
2012,2919306,5128,8208,205.93,14.2,1752021.41,605002.86,1721860.93,56843.65,NA,NA,NA,NA,NA,NA
2014,2919926,15901,19385,573.72,589.64,4883427.22,1088330.13,4881234.13,322263.53,38396.84,1545049.82,NA,NA,NA,NA
2016,2927606,5313,5623,145.81,14.55,1753217.61,481832.35,1691938.48,201356.11,300147.05,856527.8,NA,NA,0,190983.74
2012,2928604,24748,44904,871.37,772.6,6189029.58,1139962.88,6313252.47,302754.2,NA,NA,NA,NA,NA,NA
2012,2929008,7935,9305,295.55,21.91,1336600.45,459877.44,1320898.9,461691.75,NA,NA,NA,NA,NA,NA
2015,2929503,1508,35727,19.29,12.64,4114015.64,20498.7,4117771.55,703238.83,19113.59,45825.94,NA,NA,0,0
2015,2103307,9630,82574,0,407,7431193.97,505030.98,8052368.45,2760000,17400.11,867831.94,NA,0,0,0
2015,2107357,12643,12643,260,NA,90000,10000,65000,40000,NA,NA,20000,70000,0,0
2009,2904605,1555,44827,53.47,NA,5163794.42,50456.1,5346415.69,462371.98,NA,NA,0,0,0,0
2011,2906501,19387,76442,732.4,92.72,48712493,915284,54333834,957486,2748000,2748000,NA,NA,NA,NA
2011,2909901,13719,13819,375.23,2.85,1194510,105310.2,1214645,215430,22320,47320,0,0,0,0
2008,2910800,200083,524681,9360.54,2829.08,46449646.34,13007533.44,49266191.94,6014516.21,5372000,5522000,NA,NA,NA,NA
2010,2913002,1628,3437,54.15,5.27,302051,63822,316856,110267,NA,NA,NA,NA,NA,NA
2007,2913507,2551,14091,81.48,4,829169.64,40829.66,870689.84,89999.4,0,0,NA,NA,NA,NA
2011,2914802,145650,200247,1932,144,28605833.85,8131680.09,24801798.07,4607088.92,436241.02,714693.65,0,0,0,0
2011,2915403,2244,5782,18.92,38.56,485004,12179,564661,46674,NA,NA,NA,NA,NA,NA
2010,2917003,607,9699,1.77,NA,1026813,11118,1100388,252059,NA,NA,NA,NA,NA,NA
2007,2921005,5207,26996,673.6,1229,6063502.75,1882523.83,5653700.76,1238977.02,0,261000,NA,NA,NA,NA
2010,2932507,1115,15030,42.7,25.94,1132128,37220,1296473,85393,NA,NA,NA,NA,NA,NA
2009,2103000,526,112237,17,4,6644583,0,6644583,2777261,NA,NA,NA,NA,NA,NA
2008,2111300,451066,945231,9640,1200,104308102.46,31343059.51,89516758.55,25799872.07,0,10552342.58,NA,NA,NA,NA
2003,2903904,7500,38903,1036,360,1987014,141414,1987074,243493,61201,333769,NA,NA,NA,NA
2006,2904902,4526,16646,31,344,1756478.98,81510.32,1639245.26,113352.87,0,0,NA,NA,NA,NA
2005,2914802,136638,198126,864.9,71.2,16598491.32,4813872.86,9263825.42,4258966.9,14716.52,225912.57,NA,NA,NA,NA
2003,2918001,92522,130959,2818.9,1995.2,10738853.41,3760790.79,8805806,NA,0,0,NA,NA,NA,NA
2003,2927408,1245851,2555377,164007.9,30816.1,NA,57486580.68,208219970,NA,66045157,76977962,NA,NA,NA,NA
2005,2928604,32383,46535,838.7,457,2791766.52,464354.9,3037922.36,233979.7,364000,364000,NA,NA,NA,NA
2004,2202901,2821,13171,0,NA,842125,66274,782852.14,171028,0,122343.56,NA,NA,NA,NA
1996,2914802,139108,177944,1178.95,NA,9758732.12,2529463.37,9772585.74,1545000,1e+06,NA,NA,NA,NA,NA
2001,2930501,2121,39598,121.59,NA,1712544,24924,1647734.06,NA,NA,NA,NA,NA,NA,NA
2022,2901007,787,NA,27.51,0,8588512.78,66239.15,8736607.5,866124.84,608982.17,1653541.01,0,0,0,0
2022,2905800,2058,NA,73.74,13.58,4512115.64,244730.78,4710810.64,291555.58,15672.04,357986.37,0,0,0,0
2022,2911402,1719,NA,76.72,49.12,2797126.47,432216.13,2917278.15,301875.58,141596.56,406327.07,0,0,0,0
2022,2203909,15833,NA,210.31,9.85,19439022.73,1043446.5,20023501.35,3316219.34,0,436089.94,0,0,0,0
2019,2902658,750,4526,0,0,988075.5,0,955371.74,442148.63,0,25545.35,0,14109,NA,NA
2020,2903904,22083,47296,1493,967,11246459,1852783,11246459,1100000,0,3e+05,0,0,0,0
2017,2904605,5077,48676,169.02,0,13886853.02,337868.16,13490925.31,1174549.57,0,89999.66,NA,NA,0,0
2020,2906907,5510,11668,187.79,69.82,4377183.12,930177.75,4052497.71,166315.26,135764.95,322640.63,NA,NA,NA,NA
2019,2909505,2681,3374,76.13,166.92,928288.55,333382.61,931548.42,254861.04,0,0,NA,NA,NA,NA
2018,2910057,33123,74927,1764.05,259,13888506.7,4236396.38,12548731.46,1862605.9,0,0,NA,NA,0,0
2021,2913705,20000,17536,0,NA,4789297.3,180000,4908795.31,457644.02,34467.53,365004.87,0,0,0,0
2018,2913705,16890,17010,0,NA,3919010.86,105254,4001293.34,223049.39,0,0,0,0,0,0
2021,2915106,10200,9497,0,NA,2135581.76,3000,2251566.86,49656.05,2075.18,164914.25,30000,88000,0,0
2018,2915601,40550,50931,1521.68,463,16860235.8,6406528.54,15548163.13,759003.16,251290.79,2274599.62,NA,NA,0,0
2020,2915809,1356,19412,33.4,10.56,4035081.28,116287.74,3904526.95,151388.33,37486.57,346336.83,NA,NA,NA,NA
